,rank,region,score,gdp,healthy,freedom,generosity,corruption,year
0,1,Switzerland,7.587,1.39651,0.94143,0.66557,0.29678,0.41978,2015
1,2,Iceland,7.561,1.30232,0.94784,0.62877,0.4363,0.14145,2015
2,3,Denmark,7.527,1.32548,0.87464,0.64938,0.34139,0.48357,2015
3,4,Norway,7.522,1.459,0.88521,0.66973,0.34699,0.36503,2015
4,5,Canada,7.427,1.32629,0.90563,0.63297,0.45811,0.32957,2015
5,6,Finland,7.406,1.29025,0.88911,0.64169,0.23351,0.41372,2015
6,7,Netherlands,7.378,1.32944,0.89284,0.61576,0.4761,0.31814,2015
7,8,Sweden,7.364,1.33171,0.91087,0.6598,0.36262,0.43844,2015
8,9,New Zealand,7.286,1.25018,0.90837,0.63938,0.47501,0.42922,2015
9,10,Australia,7.284,1.33358,0.93156,0.65124,0.43562,0.35637,2015
10,11,Israel,7.278,1.22857,0.91387,0.41319,0.33172,0.07785,2015
11,12,Costa Rica,7.226,0.95578,0.86027,0.63376,0.25497,0.10583,2015
12,13,Austria,7.2,1.33723,0.89042,0.62433,0.33088,0.18676,2015
13,14,Mexico,7.187,1.02054,0.81444,0.48181,0.14074,0.21312,2015
14,15,United States,7.119,1.39451,0.86179,0.54604,0.40105,0.1589,2015
15,16,Brazil,6.983,0.98124,0.69702,0.49049,0.14574,0.17521,2015
16,17,Luxembourg,6.946,1.56391,0.91894,0.61583,0.28034,0.37798,2015
17,18,Ireland,6.94,1.33596,0.89533,0.61777,0.45901,0.28703,2015
18,19,Belgium,6.937,1.30782,0.89667,0.5845,0.2225,0.2254,2015
19,20,United Arab Emirates,6.901,1.42727,0.80925,0.64157,0.26428,0.38583,2015
20,21,United Kingdom,6.867,1.26637,0.90943,0.59625,0.51912,0.32067,2015
21,22,Oman,6.853,1.36011,0.76276,0.63274,0.21542,0.32524,2015
22,23,Venezuela,6.81,1.04424,0.72052,0.42908,0.05841,0.11069,2015
23,24,Singapore,6.798,1.52186,1.02525,0.54252,0.31105,0.4921,2015
24,25,Panama,6.786,1.06353,0.79661,0.5421,0.24434,0.0927,2015
25,26,Germany,6.75,1.32792,0.89186,0.61477,0.28214,0.21843,2015
26,27,Chile,6.67,1.10715,0.85857,0.44132,0.33363,0.12869,2015
27,28,Qatar,6.611,1.69042,0.79733,0.6404,0.32573,0.52208,2015
28,29,France,6.575,1.27778,0.94579,0.55011,0.12332,0.20646,2015
29,30,Argentina,6.574,1.05351,0.78723,0.44974,0.11451,0.08484,2015
30,31,Czech Republic,6.505,1.17898,0.84483,0.46364,0.10686,0.02652,2015
31,32,Uruguay,6.485,1.06166,0.8116,0.60362,0.2324,0.24558,2015
32,33,Colombia,6.477,0.91861,0.69077,0.53466,0.18401,0.0512,2015
33,34,Thailand,6.455,0.9669,0.7385,0.55664,0.5763,0.03187,2015
34,35,Saudi Arabia,6.411,1.39541,0.72025,0.31048,0.13706,0.32524,2015
35,36,Spain,6.329,1.23011,0.95562,0.45951,0.18227,0.06398,2015
36,37,Malta,6.302,1.2074,0.88721,0.60365,0.51752,0.13586,2015
37,38,Taiwan,6.298,1.29098,0.8753,0.3974,0.25376,0.08129,2015
38,39,Kuwait,6.295,1.55422,0.72492,0.55499,0.16228,0.25609,2015
39,40,Suriname,6.269,0.99534,0.6082,0.59657,0.16991,0.13633,2015
40,41,Trinidad and Tobago,6.168,1.21183,0.61483,0.55884,0.31844,0.0114,2015
41,42,El Salvador,6.13,0.76454,0.67737,0.4035,0.10692,0.11776,2015
42,43,Guatemala,6.123,0.74553,0.64425,0.57733,0.27489,0.09472,2015
43,44,Uzbekistan,6.003,0.63244,0.59772,0.65821,0.22837,0.30826,2015
44,45,Slovakia,5.995,1.16891,0.78902,0.31751,0.16893,0.03431,2015
45,46,Japan,5.987,1.27074,0.99111,0.49615,0.10705,0.1806,2015
46,47,South Korea,5.984,1.24461,0.96538,0.33208,0.18557,0.07857,2015
47,48,Ecuador,5.975,0.86402,0.79075,0.48574,0.11541,0.1809,2015
48,49,Bahrain,5.96,1.32376,0.74716,0.45492,0.17362,0.306,2015
49,50,Italy,5.948,1.25114,0.95446,0.26236,0.22823,0.02901,2015
50,51,Bolivia,5.89,0.68133,0.5392,0.57414,0.20536,0.088,2015
51,52,Moldova,5.889,0.59448,0.61826,0.32818,0.20951,0.01615,2015
52,53,Paraguay,5.878,0.75985,0.66098,0.53899,0.3424,0.08242,2015
53,54,Kazakhstan,5.855,1.12254,0.64368,0.51649,0.11827,0.08454,2015
54,55,Slovenia,5.848,1.18498,0.87337,0.60855,0.25328,0.03787,2015
55,56,Lithuania,5.833,1.14723,0.73128,0.21342,0.02641,0.01031,2015
56,57,Nicaragua,5.828,0.59325,0.74314,0.55475,0.27815,0.19317,2015
57,58,Peru,5.824,0.90019,0.73017,0.41496,0.14982,0.05989,2015
58,59,Belarus,5.813,1.03192,0.73608,0.37938,0.11046,0.1909,2015
59,60,Poland,5.791,1.12555,0.77903,0.53122,0.16759,0.04212,2015
60,61,Malaysia,5.77,1.12486,0.72394,0.53024,0.33075,0.10501,2015
61,62,Croatia,5.759,1.08254,0.78805,0.25883,0.05444,0.0243,2015
62,63,Libya,5.754,1.13145,0.7038,0.41668,0.18295,0.11023,2015
63,64,Russia,5.716,1.13764,0.66926,0.36679,0.00199,0.03005,2015
64,65,Jamaica,5.709,0.81038,0.68741,0.50442,0.2123,0.02299,2015
65,66,North Cyprus,5.695,1.20806,0.92356,0.49027,0.26169,0.1428,2015
66,67,Cyprus,5.689,1.20813,0.92356,0.40672,0.30638,0.06146,2015
67,68,Algeria,5.605,0.93929,0.61766,0.28579,0.07822,0.17383,2015
68,69,Kosovo,5.589,0.80148,0.63132,0.24749,0.2831,0.04741,2015
69,70,Turkmenistan,5.548,0.95847,0.53886,0.4761,0.16979,0.30844,2015
70,71,Mauritius,5.477,1.00761,0.7095,0.56066,0.37744,0.07521,2015
71,72,Hong Kong,5.474,1.38604,1.01328,0.59608,0.39478,0.37124,2015
72,73,Estonia,5.429,1.15174,0.77361,0.44888,0.0868,0.15184,2015
73,74,Indonesia,5.399,0.82827,0.63793,0.46611,0.51535,0.0,2015
74,75,Vietnam,5.36,0.63216,0.74676,0.59444,0.1686,0.10441,2015
75,76,Turkey,5.332,1.06098,0.73172,0.22815,0.12253,0.15746,2015
76,77,Kyrgyzstan,5.286,0.47428,0.65088,0.43477,0.3003,0.04232,2015
77,78,Nigeria,5.268,0.65435,0.16007,0.34334,0.27233,0.0403,2015
78,79,Bhutan,5.253,0.77042,0.57407,0.53206,0.47998,0.15445,2015
79,80,Azerbaijan,5.212,1.02389,0.64045,0.3703,0.07799,0.16065,2015
